Driver,Race,LapNumber,umap_x,umap_y
ALO,2023_Suzuka,5.0,-5.0022297,12.597126
ALO,2023_Suzuka,6.0,-4.5154343,12.575158
ALO,2023_Suzuka,7.0,-3.8666003,12.044343
ALO,2023_Suzuka,8.0,-3.9248397,10.552815
ALO,2023_Suzuka,9.0,-3.523237,11.633752
ALO,2023_Suzuka,10.0,-4.7931414,11.244816
ALO,2023_Suzuka,11.0,-4.164817,12.242578
ALO,2023_Suzuka,15.0,-5.60664,12.347514
ALO,2023_Suzuka,16.0,-3.6515236,12.450609
ALO,2023_Suzuka,17.0,-4.4767456,11.739996
ALO,2023_Suzuka,18.0,-4.3164873,12.593132
ALO,2023_Suzuka,19.0,-3.317143,12.267458
ALO,2023_Suzuka,20.0,-3.8308578,11.787161
ALO,2023_Suzuka,21.0,-4.462252,12.339584
ALO,2023_Suzuka,22.0,-4.2198915,12.238191
ALO,2023_Suzuka,23.0,-4.8572397,12.84948
ALO,2023_Suzuka,24.0,-4.0764456,12.939293
ALO,2023_Suzuka,25.0,-3.2505333,11.883727
ALO,2023_Suzuka,27.0,-4.7014885,11.634909
ALO,2023_Suzuka,28.0,-3.5984783,12.497995
ALO,2023_Suzuka,29.0,-4.0909286,13.163457
ALO,2023_Suzuka,30.0,-4.4249954,12.766946
ALO,2023_Suzuka,31.0,-3.5096877,12.867038
ALO,2023_Suzuka,32.0,-4.376464,12.624245
ALO,2023_Suzuka,33.0,-4.737849,11.248763
ALO,2023_Suzuka,34.0,-3.5390337,11.505592
ALO,2023_Suzuka,35.0,-3.517391,12.358171
ALO,2023_Suzuka,36.0,-4.1201153,13.083871
ALO,2023_Suzuka,37.0,-3.9705837,13.073623
ALO,2023_Suzuka,38.0,-3.6196036,12.7932415
ALO,2023_Suzuka,39.0,-4.2640653,10.978565
ALO,2023_Suzuka,40.0,-3.617787,12.480192
ALO,2023_Suzuka,41.0,-3.3609846,11.615174
ALO,2023_Suzuka,42.0,-3.530576,12.792038
ALO,2023_Suzuka,43.0,-4.524423,12.761782
ALO,2023_Suzuka,44.0,-4.546143,12.808064
ALO,2023_Suzuka,45.0,-3.7501786,12.134646
ALO,2023_Suzuka,46.0,-3.842545,12.107656
ALO,2023_Suzuka,47.0,-4.623913,10.901626
