Driver,LapNumber,LapTime_s,Race,Season,brake_duration_ratio,throttle_smoothness,full_throttle_ratio,coasting_ratio,gear_change_freq,speed_at_throttle_lift,mean_corner_speed,speed_variance,throttle_brake_overlap
ALO,57.0,97.422,Bahrain,2023,0.19973544973544974,2.2701986754966885,0.45105820105820105,0.05952380952380952,6.746031746031746,272.34500096,121.06138819184383,69.01409212436998,0.003968253968253968
HAM,1.0,102.288,Bahrain,2023,0.23477157360406092,2.5184243964421853,0.4365482233502538,0.0266497461928934,7.741116751269035,246.5,116.77079671450434,69.81720780358638,0.01903553299492386
HAM,2.0,99.166,Bahrain,2023,0.2220744680851064,2.3009320905459387,0.46808510638297873,0.043882978723404256,6.117021276595745,249.66666666666666,125.10524571283538,69.23452788159273,0.011968085106382979
HAM,3.0,99.22,Bahrain,2023,0.22296395193591456,2.342245989304813,0.417890520694259,0.07209612817089453,6.008010680907877,,125.35267618269089,69.62693777666814,0.012016021361815754
HAM,4.0,99.198,Bahrain,2023,0.20881971465629054,2.207792207792208,0.4293125810635538,0.04928664072632944,5.836575875486381,285.0,125.87045177483176,68.44875611385481,0.01297016861219196
HAM,5.0,99.335,Bahrain,2023,0.21552878179384202,2.32171581769437,0.4538152610441767,0.05622489959839357,5.35475234270415,251.66666666666666,120.92433337934354,69.48783055188709,0.014725568942436412
HAM,6.0,99.756,Bahrain,2023,0.21467391304347827,2.4136054421768707,0.43070652173913043,0.050271739130434784,6.657608695652175,309.0,125.13551041749615,69.11081546429966,0.004076086956521739
HAM,7.0,99.757,Bahrain,2023,0.2253711201079622,2.348648648648649,0.44534412955465585,0.03508771929824561,6.207827260458839,279.5,124.66687593362897,70.29176218256939,0.01349527665317139
HAM,8.0,100.267,Bahrain,2023,0.22987012987012986,2.306892067620286,0.42857142857142855,0.03636363636363636,5.844155844155844,231.0,122.92306266329824,67.9137272940819,0.014285714285714285
HAM,9.0,100.323,Bahrain,2023,0.22162162162162163,2.3545331529093367,0.45,0.031081081081081083,6.351351351351352,270.0,122.05449805521937,69.6010345109167,0.010810810810810811
HAM,10.0,100.289,Bahrain,2023,0.20485175202156333,2.375168690958165,0.4339622641509434,0.05256064690026954,7.142857142857142,221.74285714285713,122.81482907247286,67.8336564991433,0.006738544474393531
HAM,11.0,100.752,Bahrain,2023,0.21391076115485563,2.296977660972405,0.42650918635170604,0.051181102362204724,6.167979002624672,252.5,122.01621019632704,68.28209638001728,0.003937007874015748
HAM,14.0,98.308,Bahrain,2023,0.21109607577807848,2.3902439024390243,0.41948579161028415,0.05953991880920163,6.359945872801083,278.0,126.0487386028799,65.66630110721351,0.006765899864682003
HAM,15.0,98.527,Bahrain,2023,0.2291950886766712,2.3825136612021858,0.41609822646657574,0.05184174624829468,6.2755798090040935,,120.99042019954247,68.3171183690221,0.010914051841746248
HAM,16.0,98.617,Bahrain,2023,0.2193808882907133,2.3180592991913747,0.41318977119784656,0.06729475100942127,5.652759084791386,,117.17998553879065,67.28703489232997,0.006729475100942127
HAM,17.0,98.704,Bahrain,2023,0.21845318860244234,2.307065217391304,0.4260515603799186,0.05698778833107191,5.970149253731343,281.1249984,123.88063233729942,68.05611225744694,0.005427408412483039
HAM,18.0,98.69,Bahrain,2023,0.22236842105263158,2.27931488801054,0.42894736842105263,0.04868421052631579,5.7894736842105265,,121.49577059543788,68.06566310642711,0.005263157894736842
HAM,19.0,98.684,Bahrain,2023,0.20430107526881722,2.285329744279946,0.43010752688172044,0.04838709677419355,6.048387096774194,,122.96729990172165,67.88722369846735,0.002688172043010753
HAM,20.0,98.478,Bahrain,2023,0.2154255319148936,2.247669773635153,0.4441489361702128,0.05585106382978723,5.851063829787234,272.5,123.92916039385331,67.93083608871137,0.009308510638297872
HAM,21.0,98.581,Bahrain,2023,0.21352785145888595,2.252324037184595,0.4336870026525199,0.054376657824933686,5.968169761273209,,123.50320824806484,67.78503630347433,0.011936339522546418
HAM,22.0,98.46,Bahrain,2023,0.21891891891891893,2.3572395128552097,0.4297297297297297,0.052702702702702706,5.810810810810811,267.31111039999996,125.10643122928991,67.84289963762953,0.004054054054054054
HAM,23.0,98.384,Bahrain,2023,0.22359396433470508,2.368131868131868,0.4348422496570645,0.05075445816186557,5.761316872427984,,123.14821592015721,67.6288474707728,0.0054869684499314125
HAM,24.0,98.367,Bahrain,2023,0.21994535519125682,2.341997264021888,0.41120218579234974,0.05191256830601093,5.737704918032787,276.1833329777778,123.86459679500507,67.96636507557146,0.0
HAM,25.0,98.29,Bahrain,2023,0.21073825503355706,2.325268817204301,0.45234899328859063,0.05906040268456376,5.6375838926174495,240.76666453333334,122.54996743509592,68.57017618529792,0.0
HAM,26.0,98.339,Bahrain,2023,0.2145748987854251,2.2972972972972974,0.45614035087719296,0.048582995951417005,6.0728744939271255,289.5,127.3705961511759,68.68549598320939,0.004048582995951417
HAM,27.0,98.369,Bahrain,2023,0.2109479305740988,2.286096256684492,0.4739652870493992,0.05473965287049399,5.874499332443257,310.0,121.77725140473368,68.76966040154102,0.006675567423230975
HAM,28.0,98.265,Bahrain,2023,0.22013422818791947,2.2903225806451615,0.45234899328859063,0.052348993288590606,5.771812080536913,281.0812496,122.30964362613152,69.4209150382144,0.012080536912751677
HAM,29.0,98.38,Bahrain,2023,0.21997300944669365,2.3,0.47368421052631576,0.04723346828609987,6.882591093117409,,125.71844634012514,69.75534157968583,0.022941970310391364
HAM,30.0,101.175,Bahrain,2023,0.22551546391752578,2.4929032258064514,0.42010309278350516,0.05283505154639175,6.443298969072164,286.60000032,121.69350386709255,70.58484609884637,0.01288659793814433
HAM,32.0,97.563,Bahrain,2023,0.2225237449118046,2.317934782608696,0.41926729986431477,0.04748982360922659,5.291723202170964,303.0,124.35571915121618,66.5433266548158,0.0067842605156037995
HAM,33.0,97.549,Bahrain,2023,0.2193103448275862,2.3232044198895028,0.42758620689655175,0.0496551724137931,5.103448275862069,,113.50757263081586,66.86177919052273,0.004137931034482759
HAM,34.0,98.135,Bahrain,2023,0.2217741935483871,2.288021534320323,0.38844086021505375,0.05779569892473118,5.376344086021505,310.0,119.50713512176945,66.8180242243736,0.010752688172043012
HAM,35.0,96.831,Bahrain,2023,0.209366391184573,2.3337931034482757,0.44490358126721763,0.045454545454545456,5.647382920110193,,120.66868311464707,67.78464460957404,0.015151515151515152
HAM,36.0,96.546,Bahrain,2023,0.22070844686648503,2.300136425648022,0.4673024523160763,0.035422343324250684,6.130790190735695,,126.60713130182113,68.87798287622472,0.01907356948228883
HAM,37.0,97.388,Bahrain,2023,0.21997300944669365,2.354054054054054,0.4966261808367072,0.0310391363022942,6.882591093117409,253.78480823347562,125.70818732304785,69.76744430281994,0.010796221322537112
HAM,38.0,98.304,Bahrain,2023,0.23355704697986576,2.3306451612903225,0.4604026845637584,0.025503355704697986,6.442953020134229,275.0,118.82453658406241,72.14593148111221,0.01476510067114094
