dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,Driver,Race,LapNumber
-0.27444503,0.15672567,0.14527348,0.24350585,-0.019683912,-0.06070884,-0.2482338,-0.25870284,-0.19684663,0.019061688,0.055129547,-0.17238879,0.07811885,-0.037376698,-0.0017903256,-0.16669135,0.028905656,-0.3090047,0.17376049,0.40730375,-0.13976765,0.007584502,0.28603837,-0.010582415,0.012448813,-0.010878563,0.19994684,-0.34743196,-0.059637208,0.06179298,0.08680841,0.10068192,ALO,2023_Bahrain,40.0
-0.3015466,0.17074887,0.17858744,0.21575603,0.03415123,-0.06029534,-0.28854313,-0.21600893,-0.19066654,0.05839963,0.059771765,-0.16266784,0.055097584,-0.004427436,0.036932074,-0.17543338,0.05144858,-0.34365574,0.12508008,0.39354628,-0.13047327,-0.016360428,0.23194398,-0.014773824,0.051685277,-0.036485087,0.20396495,-0.3692115,-0.03964517,0.07248174,0.026070667,0.09876399,ALO,2023_Bahrain,42.0
-0.28991362,0.15695003,0.148438,0.23280276,0.014992276,-0.070642695,-0.28031072,-0.22467013,-0.19151925,0.020865781,0.051242992,-0.14732382,0.03443631,-0.008662337,0.023467325,-0.17874461,0.043560386,-0.31695732,0.15366094,0.41846076,-0.15048674,0.00092316105,0.25499633,-0.021981148,0.0510687,-0.021127518,0.21322308,-0.3635267,-0.039959844,0.055253007,0.028157022,0.1013274,ALO,2023_Bahrain,43.0
-0.26108873,0.15574542,0.1497842,0.22738236,0.010557266,-0.057425644,-0.26416016,-0.2183558,-0.17449783,0.012787858,0.07192594,-0.18315433,0.04347116,-0.0849033,-0.03655463,-0.1572442,0.06942665,-0.2788355,0.21810324,0.43243796,-0.17979282,0.0142305335,0.23884928,-0.029346975,0.09978909,-5.661941e-05,0.20894158,-0.35957304,0.013197786,0.10204204,0.021665387,0.08083754,ALO,2023_Bahrain,44.0
-0.26352793,0.14329748,0.15502058,0.25570112,0.02146057,-0.11554671,-0.23871055,-0.23022932,-0.14431077,0.103003465,0.03585226,-0.14398003,0.071271725,0.06278659,0.0910284,-0.11269355,0.020342486,-0.40756622,0.08405985,0.3671635,-0.13188726,-0.07566111,0.26061273,-0.021127347,-0.008088545,-0.079426855,0.20342207,-0.34439966,-0.112021655,0.01908783,0.10677766,0.15093826,ALO,2023_Bahrain,45.0
-0.2802394,0.16247293,0.14169478,0.22007078,0.061277777,-0.08122306,-0.29378858,-0.20841438,-0.20379609,0.07755113,0.07511524,-0.14592306,0.053019457,-0.018039513,0.0007441767,-0.16717528,0.051810674,-0.3122534,0.17317083,0.40665862,-0.14221367,-0.034458037,0.23379588,-0.046628177,0.04721733,-0.03210472,0.2304423,-0.3536706,-0.01693922,0.1086127,0.04110383,0.10899364,ALO,2023_Bahrain,46.0
-0.30054554,0.16261426,0.15745044,0.22590321,0.03120928,-0.100073054,-0.26448977,-0.22114322,-0.18264507,0.09666472,0.05956716,-0.15470877,0.08809591,0.043289017,0.058204826,-0.13410293,0.0319681,-0.36305714,0.10024567,0.38290426,-0.13101372,-0.023712931,0.24397543,-0.0077338237,-0.025564566,-0.071510024,0.20434129,-0.35179046,-0.08666607,0.07295439,0.081762664,0.13696845,ALO,2023_Bahrain,47.0
-0.30373138,0.15950191,0.13709752,0.22534314,0.018831862,-0.048377372,-0.30255076,-0.2116388,-0.21198897,0.019887766,0.07081877,-0.15717839,0.03511123,-0.049784068,-0.018636853,-0.19746755,0.055285983,-0.27143407,0.18664327,0.4154082,-0.15218706,0.019920316,0.23196954,-0.023239158,0.10815655,0.0014604146,0.1809339,-0.36216244,-0.003458568,0.11077253,0.019970827,0.0726686,ALO,2023_Bahrain,48.0
-0.2797845,0.16582242,0.16514122,0.2284241,-0.03863592,-0.04905127,-0.26350996,-0.24040498,-0.18147747,0.0006093287,0.051471017,-0.16946101,0.06565974,-0.052296598,0.031118069,-0.18426926,0.029534752,-0.29590502,0.16904552,0.4311627,-0.16838022,0.038460605,0.26610595,-0.023858441,0.04781028,-0.040917,0.18514009,-0.3468187,-0.032417167,0.06634621,0.057733074,0.077105075,ALO,2023_Bahrain,49.0
-0.26535636,0.17008972,0.18840201,0.22748491,-0.016147763,-0.09465272,-0.2741711,-0.20772333,-0.176912,0.055797264,0.036777254,-0.15577966,0.079828896,0.04067569,0.109238155,-0.17293052,0.009513138,-0.35644495,0.097460024,0.39700532,-0.1490123,-0.008588331,0.24986815,-0.0140357595,0.024152726,-0.092777036,0.17706345,-0.36082852,-0.067616075,0.040591076,0.066844255,0.12403251,ALO,2023_Bahrain,50.0
