dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,Driver,Race,LapNumber
0.0,5.5084815,2.0455122,2.4678557,0.0,3.7355268,0.4070672,4.193176,0.6384372,0.0,5.280468,0.42822036,0.0,0.43983632,0.17556295,0.0,7.9287896,0.9318948,0.0,6.1265173,0.0,9.007444,0.0,9.737229,6.266335,0.0,6.2434163,0.0,1.6379235,0.0,3.397661,0.0,ALO,2023_Bahrain,45.0
0.0,5.2340956,1.6093725,2.722796,0.0,4.140237,0.0,4.400426,0.48489836,0.0,5.548961,0.3945733,0.0,0.41587198,0.22366884,0.0,7.957406,0.88485396,0.0,6.095922,0.0,9.121845,0.0,10.020832,6.5928235,0.0,6.1073103,0.0,1.7853203,0.0,3.4359562,0.0,ALO,2023_Bahrain,46.0
0.0,5.0020485,1.7031102,2.5814552,0.0,4.4217024,0.0,4.5349393,1.2153767,0.0,5.5310574,0.334235,0.0,0.9758655,0.4022194,0.0,7.6946907,0.7038851,0.0,5.4193,0.0,8.474558,0.0,9.258181,5.819642,0.0,6.4994864,0.0,2.2628138,0.0,2.7504117,0.0,ALO,2023_Bahrain,47.0
0.0,5.6315546,1.945547,2.5637531,0.0,4.2261653,0.0,4.2595973,0.55316645,0.0,5.4281383,0.13019252,0.0,0.48936176,0.050111465,0.0,8.195775,0.7110694,0.0,6.4610653,0.0,9.255484,0.0,10.098354,6.546941,0.0,6.4665313,0.0,1.6268363,0.0,3.1880717,0.0,ALO,2023_Bahrain,48.0
0.0,6.1321254,2.4710286,2.0897007,0.0,4.1735506,0.0,3.9281564,0.7864994,0.0,5.252319,0.0,0.0,0.6626793,0.0,0.0,8.653023,0.16881704,0.0,6.666965,0.0,9.27994,0.0,9.926952,6.1806417,0.0,7.1599884,0.0,1.4268169,0.0,2.563533,0.0,ALO,2023_Bahrain,49.0
0.0,5.459734,1.9507228,2.2714305,0.0,4.433467,0.0,4.6430407,1.1912955,0.0,5.9789734,0.0,0.0,0.9570343,0.18662062,0.0,8.702787,0.1508944,0.0,5.801844,0.0,9.18904,0.0,9.829402,6.1547527,0.0,7.2893133,0.0,2.241507,0.0,2.6187253,0.0,ALO,2023_Bahrain,50.0
0.0,5.824505,2.0325913,2.301277,0.0,4.464623,0.0,4.4706707,0.84506786,0.0,5.942952,0.0,0.0,0.7165382,0.0,0.0,8.948189,0.16719177,0.0,6.410545,0.0,9.629802,0.0,10.358051,6.5354886,0.0,7.276355,0.0,1.8813387,0.0,2.8364835,0.0,ALO,2023_Bahrain,51.0
0.0,5.31941,1.8458518,2.529986,0.0,4.903044,0.0,4.9388423,1.4544677,0.0,6.118609,0.0,0.0,1.2130941,0.3799035,0.0,8.511829,0.2865439,0.0,5.7103233,0.0,9.090149,0.0,9.819873,6.1776967,0.0,7.29139,0.0,2.5617044,0.0,2.514008,0.0,ALO,2023_Bahrain,52.0
0.0,5.59706,1.730056,2.5055285,0.0,4.545686,0.0,4.596006,0.7316575,0.0,6.0199404,0.0,0.0,0.63838965,0.038022734,0.0,8.735473,0.35753527,0.0,6.285077,0.0,9.606883,0.0,10.4188175,6.615477,0.0,6.9956574,0.0,1.963558,0.0,3.0373921,0.0,ALO,2023_Bahrain,53.0
0.0,5.00647,1.8313329,2.5761242,0.0,4.633574,0.0,4.8341765,1.5024774,0.0,5.748639,0.43187273,0.0,1.2017092,0.5745085,0.0,7.773116,0.68287945,0.0,5.35312,0.0,8.484495,0.0,9.213281,5.861034,0.0,6.699572,0.0,2.5868711,0.0,2.60096,0.0,ALO,2023_Bahrain,54.0
